payload_bytes,tx_power_dbm,bit_rate_kbps,energy_total_mJ_mean,energy_total_mJ_stdev,energy_per_byte_uJ,event_duration_ms_mean,runs,source_session
8,-30,1.2,7.0984310930902526,0.04782257990901734,887.3038866362816,195.974,5,20260717_154721_radio_cc1101_v1_433
32,-30,1.2,12.888745041809122,0.06202217576113075,402.77328255653504,356.536,5,20260717_154721_radio_cc1101_v1_433
64,-30,1.2,25.89540600191049,0.07641405041139276,404.6157187798514,727.496,5,20260717_154721_radio_cc1101_v1_433
128,-30,1.2,51.77123257156209,0.10016247202299068,404.4627544653288,1469.3020000000001,5,20260717_154721_radio_cc1101_v1_433
512,-30,1.2,207.18292185362594,0.21346370670107687,404.65414424536317,5921.64,5,20260717_154721_radio_cc1101_v1_433
1024,-30,1.2,414.0883194237364,0.18130498521678753,404.38312443724254,11857.554,5,20260717_154721_radio_cc1101_v1_433
8,-30,38.4,0.2573031327923392,0.0023788625404507274,32.162891599042396,7.706,5,20260717_154721_radio_cc1101_v1_433
32,-30,38.4,0.4403335948722209,0.0011236767976631787,13.760424839756903,12.844,5,20260717_154721_radio_cc1101_v1_433
64,-30,38.4,0.9674976326758831,0.0026536185942368953,15.117150510560673,40.556,5,20260717_154721_radio_cc1101_v1_433
128,-30,38.4,2.0276913251112862,0.0033693633185143523,15.841338477431924,96.684,5,20260717_154721_radio_cc1101_v1_433
512,-30,38.4,8.371967903990658,0.007249808635176994,16.351499812481755,432.11,5,20260717_154721_radio_cc1101_v1_433
1024,-30,38.4,16.82768645080494,0.014985367291796312,16.4332875496142,880.3059999999999,5,20260717_154721_radio_cc1101_v1_433
8,-30,250.0,0.06835271307290036,0.0010757166773754626,8.544089134112545,2.348,5,20260717_154721_radio_cc1101_v1_433
32,-30,250.0,0.09998253563382524,0.0005859636091005865,3.1244542385570386,3.258,5,20260717_154721_radio_cc1101_v1_433
64,-30,250.0,0.2880358189779073,0.0012042591759370944,4.5005596715298015,21.696,5,20260717_154721_radio_cc1101_v1_433
128,-30,250.0,0.6577088449866199,0.0021575799371802468,5.138350351457968,57.388,5,20260717_154721_radio_cc1101_v1_433
512,-30,250.0,2.8841523188226033,0.0025590303874405322,5.633109997700397,273.344,5,20260717_154721_radio_cc1101_v1_433
1024,-30,250.0,5.857635803949495,0.005793888389694524,5.720347464794428,561.58,5,20260717_154721_radio_cc1101_v1_433
8,0,1.2,10.888176453047583,0.004650299674829348,1361.0220566309479,195.982,5,20260717_154721_radio_cc1101_v1_433
32,0,1.2,19.831735053584055,0.060293692225939194,619.7417204245018,356.43,5,20260717_154721_radio_cc1101_v1_433
64,0,1.2,39.70097165882583,0.04954301904286606,620.3276821691536,727.226,5,20260717_154721_radio_cc1101_v1_433
128,0,1.2,79.49446789744415,0.12542150726851622,621.0505304487824,1469.636,5,20260717_154721_radio_cc1101_v1_433
512,0,1.2,317.7596309596611,0.16973226929532048,620.6242792180881,5921.558,5,20260717_154721_radio_cc1101_v1_433
1024,0,1.2,635.3490664352535,0.16897946870681424,620.4580726906772,11857.602,5,20260717_154721_radio_cc1101_v1_433
8,0,38.4,0.37616178449777815,0.0010546961415211415,47.02022306222227,7.95,5,20260717_154721_radio_cc1101_v1_433
32,0,38.4,0.6575591992193202,0.0018454897982870938,20.548724975603754,12.646,5,20260717_154721_radio_cc1101_v1_433
64,0,38.4,1.4021513800659737,0.002749981604085797,21.908615313530838,40.516,5,20260717_154721_radio_cc1101_v1_433
128,0,38.4,2.8923137267480916,0.0018983519852532895,22.596200990219465,96.436,5,20260717_154721_radio_cc1101_v1_433
512,0,38.4,11.83479720130518,0.009900210828871612,23.11483828379918,432.22799999999995,5,20260717_154721_radio_cc1101_v1_433
1024,0,38.4,23.74459795663365,0.009064965183655767,23.18808394202505,880.2379999999999,5,20260717_154721_radio_cc1101_v1_433
8,0,250.0,0.0872404574140219,0.0015818570007055785,10.905057176752736,2.464,5,20260717_154721_radio_cc1101_v1_433
32,0,250.0,0.1337802907466729,0.0017753169086466183,4.180634085833527,3.3659999999999997,5,20260717_154721_radio_cc1101_v1_433
64,0,250.0,0.3537703872875104,0.004107116200313332,5.52766230136735,21.574,5,20260717_154721_radio_cc1101_v1_433
128,0,250.0,0.792222769355757,0.003971133319308102,6.189240385591852,57.544000000000004,5,20260717_154721_radio_cc1101_v1_433
512,0,250.0,3.426939260514459,0.0038213811900088563,6.693240743192303,273.842,5,20260717_154721_radio_cc1101_v1_433
1024,0,250.0,6.931158087675834,0.006506678787993072,6.768709069995931,561.608,5,20260717_154721_radio_cc1101_v1_433
8,10,1.2,32.04467470690569,0.03705984321120069,4005.5843383632114,196.0,5,20260717_154721_radio_cc1101_v1_433
32,10,1.2,58.31443020377763,0.023757951126043755,1822.3259438680511,356.238,5,20260717_154721_radio_cc1101_v1_433
64,10,1.2,116.67209584956561,0.11101890400928036,1823.0014976494626,727.528,5,20260717_154721_radio_cc1101_v1_433
128,10,1.2,233.13685619656377,0.10288105030040298,1821.3816890356545,1469.592,5,20260717_154721_radio_cc1101_v1_433
512,10,1.2,930.3751517962845,0.30186761319222605,1817.1389683521181,5921.456,5,20260717_154721_radio_cc1101_v1_433
1024,10,1.2,1857.9299214149503,0.5167391939509869,1814.3846888817875,11857.467999999999,5,20260717_154721_radio_cc1101_v1_433
8,10,38.4,1.035663567107229,0.0033639911982168797,129.45794588840363,7.634,5,20260717_154721_radio_cc1101_v1_433
32,10,38.4,1.8628315111869238,0.004138115065170121,58.21348472459137,12.882,5,20260717_154721_radio_cc1101_v1_433
64,10,38.4,3.8108686254013735,0.005109051975456192,59.544822271896464,40.626,5,20260717_154721_radio_cc1101_v1_433
128,10,38.4,7.714330631054972,0.0026035371449419325,60.26820805511697,96.474,5,20260717_154721_radio_cc1101_v1_433
512,10,38.4,31.096107561438043,0.009250005819102796,60.73458508093368,432.514,5,20260717_154721_radio_cc1101_v1_433
1024,10,38.4,62.28097477663994,0.009810658081773733,60.82126443031244,880.308,5,20260717_154721_radio_cc1101_v1_433
8,10,250.0,0.19037288481405237,0.0013915592907538113,23.796610601756548,2.598,5,20260717_154721_radio_cc1101_v1_433
32,10,250.0,0.31967722023834766,0.002095352647494102,9.989913132448365,3.5,5,20260717_154721_radio_cc1101_v1_433
64,10,250.0,0.7291634206631435,0.0012831159645946702,11.393178447861619,21.846,5,20260717_154721_radio_cc1101_v1_433
128,10,250.0,1.536366088149026,0.004167785688216925,12.002860063664265,57.63199999999999,5,20260717_154721_radio_cc1101_v1_433
512,10,250.0,6.389976691252685,0.007659169823397198,12.4804232251029,273.63399999999996,5,20260717_154721_radio_cc1101_v1_433
1024,10,250.0,12.87321468164736,0.008063866694053729,12.57149871254625,561.484,5,20260717_154721_radio_cc1101_v1_433
