payload_bytes,tx_power_dbm,air_rate,runs,events_detected,packets_received,packets_lost,packet_loss_percent,event_duration_ms_mean,event_duration_ms_min,event_duration_ms_max,energy_total_uJ_mean,sample_loss_percent_max,source_directory
32,4,1K,5,5,5,0,0,680.046,680.03,680.07,54125.769986,0,20260720_095417_radio_ebyte_e280_sx1280
32,7,1K,5,5,3,2,40,498.094,16.92,680.06,37876.582473,0,20260720_095454_radio_ebyte_e280_sx1280
32,12,1K,5,5,5,0,0,680.094,680.08,680.11,74073.204177,0,20260720_095527_radio_ebyte_e280_sx1280
8,7,2M,5,5,5,0,0,200.978,199.85,201.88,21907.240509,0.294737,20260720_095603_radio_ebyte_e280_sx1280
32,7,2M,5,5,4,1,20,176.234,175.18,177.02,19206.254642,0.294737,20260720_095639_radio_ebyte_e280_sx1280
64,7,2M,5,5,0,5,100,142.372,140.85,143.17,15536.260374,0.294737,20260720_095714_radio_ebyte_e280_sx1280
32,7,1K,5,5,4,1,20,560.378,81.56,680.09,48332.732699,0.429383,20260720_100634_radio_ebyte_e280_sx1280
32,4,1K,5,5,5,0,0,620.916,384.36,680.06,49325.115576,0,20260720_100939_radio_ebyte_e280_sx1280
32,4,1K,5,5,5,0,0,680.04,680,680.09,53928.776318,0,20260720_101519_radio_ebyte_e280_sx1280
32,7,1K,5,5,5,0,0,680.076,680.06,680.1,58517.683365,0,20260720_101611_radio_ebyte_e280_sx1280
32,12,1K,5,5,4,1,20,551.21,35.69,680.11,59857.621439,0,20260720_101704_radio_ebyte_e280_sx1280
32,12,1K,5,5,4,1,20,546.382,11.49,680.12,59305.417053,0,20260720_101758_radio_ebyte_e280_sx1280
32,12,1K,5,5,4,1,20,554.56,52.46,680.09,60217.845435,0,20260720_101851_radio_ebyte_e280_sx1280
32,12,1K,5,5,4,1,20,556.276,60.96,680.12,60419.738477,0,20260720_101944_radio_ebyte_e280_sx1280
