run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-19T14:12:14+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,1,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10989.89140863027,12623.913782960337,9.46,275.77000000000004,70347.35122267446,75683.16963696509,,,70347.35122267446,75683.16963696509,19399.68904667694,16370.329721687684,64018.9738540339,54022.08808156935,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00002,2026-07-19T14:12:17+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,2,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10989.89140863027,12623.913782960337,9.11,275.77000000000004,69750.17941049096,75683.16963696509,,,69750.17941049096,75683.16963696509,19235.00697603109,16205.650304226225,63475.5230209026,53478.64600394654,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00003,2026-07-19T14:12:20+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,3,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10989.89140863027,12623.913782960337,9.08,275.77000000000004,69726.26767095763,74931.41737772012,,,69726.26767095763,74931.41737772012,19228.412835619987,16198.935905488817,63453.76235754595,53456.48848811309,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00004,2026-07-19T14:12:23+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,4,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10989.89140863027,12623.913782960337,8.05,275.84,69397.51064534004,74931.41737772012,,,69397.51064534004,74931.41737772012,19142.609336410595,16112.920958210661,63170.61081015496,53172.639162095176,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00005,2026-07-19T14:12:26+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,5,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10943.989764574959,12577.646281456848,8.54,275.78000000000003,69570.06605402258,76435.00943353145,,,69570.06605402258,76435.00943353145,19186.03281637835,16169.123684136326,63313.908294048546,53358.10815764988,,,COM30,,False,True,rx_missing
run_00006,2026-07-19T14:12:28+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,6,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10943.989764574959,12577.646281456848,8.38,275.76,69444.27576833713,74931.41737772012,,,69444.27576833713,74931.41737772012,19149.953485876646,16133.256209327526,63194.846503392924,53239.745490780835,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00007,2026-07-19T14:12:31+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,7,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10989.89140863027,12623.913782960337,8.71,275.77000000000004,69712.96911602073,74931.41737772012,,,69712.96911602073,74931.41737772012,19224.74549312504,16195.380422926044,63441.66012731263,53444.75539565594,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00008,2026-07-19T14:12:34+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,8,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10989.89140863027,12623.364996788083,8.55,275.77000000000004,69612.92198767042,74931.41737772012,,,69612.92198767042,74931.41737772012,19197.155496539872,16167.795331078038,63350.613138581575,53353.72459255752,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00009,2026-07-19T14:12:37+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,9,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10943.989764574959,12577.646281456848,9.0,275.78000000000003,69358.97975601551,74931.41737772012,,,69358.97975601551,74931.41737772012,19127.819437113958,16110.969012660833,63121.80414247606,53166.19774178074,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
run_00010,2026-07-19T14:12:40+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),RADIO_RA01H_SX1276 + AT_COMMANDS,tx,COM29,COM30,COM29,10,32,1,32,30,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",ampere,3300,275.45599999999996,275.45599999999996,92160,0.028203848740589677,True,10943.989764574959,12577.646281456848,9.24,275.78000000000003,69641.89687200237,74931.41737772012,,,69641.89687200237,74931.41737772012,19205.842319360814,16188.96266324288,63379.279653890684,53423.5767887015,,,COM30,0123456789abcdefghijklmnopqrst,True,False,ok
