measurement_direction,tx_power_dbm,spreading_factor,bandwidth_khz,classic_mean_current_mA,variant_mean_current_mA,current_delta_percent,classic_mean_power_mW,variant_mean_power_mW,power_delta_percent,classic_frames_transmitted,classic_frames_received,variant_frames_transmitted,variant_frames_received
rx,-4.0,7,125.0,11.300102049243327,11.290761830375281,-0.08265605768286166,37.29033676250298,37.25951404023843,-0.08265605768287276,427,427,427,427
rx,-4.0,9,125.0,11.341783403460257,11.324094044495318,-0.15596629150528285,37.42788523141885,37.369510346834545,-0.15596629150529395,139,137,139,136
rx,-4.0,12,125.0,11.363920807834507,11.361623025568875,-0.020219977809488032,37.50093866585387,37.49335598437729,-0.020219977809488032,20,20,20,20
rx,10.0,7,125.0,12.037394607123861,12.051772370593943,0.11944248684490066,39.72340220350874,39.77084882296001,0.11944248684490066,427,427,427,427
rx,10.0,9,125.0,12.13056433333253,12.155542306332437,0.20590940630249577,40.030862299997345,40.11328961089704,0.20590940630249577,139,138,139,139
rx,10.0,12,125.0,12.175335533342217,12.19174316612676,0.13476123708959786,40.17860726002932,40.23275244821831,0.13476123708959786,20,20,20,20
rx,20.0,7,125.0,12.287711273313834,12.316128957656108,0.23126914125979336,40.54944720193565,40.64322556026516,0.23126914125979336,427,423,427,420
rx,20.0,9,125.0,12.411606014013653,12.446454354329063,0.2807722084963382,40.958299846245055,41.07329936928591,0.2807722084963382,139,139,139,138
rx,20.0,12,125.0,12.479363740604365,12.505336740846756,0.20812759995032515,41.18190034399441,41.267611244794296,0.20812759995032515,20,20,20,20
tx,-4.0,9,125.0,11.106488325548304,11.066119264990608,-0.3634727681191108,36.651411474309405,36.51819357446901,-0.3634727681191108,139,0,139,0
tx,10.0,9,125.0,26.66565554056217,25.675253674100826,-3.714147829423531,87.99666328385516,84.72833712453273,-3.7141478294235197,139,0,139,0
tx,20.0,9,125.0,61.724213938623556,59.67950247345626,-3.3126569537207717,203.68990599745774,196.94235816240567,-3.3126569537207606,139,0,139,0
