comparison,slug,code,direction,payload_bytes,rate_kbps,power_dbm,energy_mJ,total_power_mW,excess_power_mW,delivery_percent
payload,cc1101_v1_433,V1 433 MHz,rx,8,250.0,10.0,5.8978708267045095,,,
payload,cc1101_v1_433,V1 433 MHz,rx,32,250.0,10.0,6.177192940960571,,,
payload,cc1101_v1_433,V1 433 MHz,rx,64,250.0,10.0,6.942425911359043,,,
payload,cc1101_v1_433,V1 433 MHz,rx,128,250.0,10.0,8.64849990572214,,,
payload,cc1101_v1_433,V1 433 MHz,rx,512,250.0,10.0,18.782343609120705,,,
payload,cc1101_v1_433,V1 433 MHz,rx,1024,250.0,10.0,32.21439874635565,,,
payload,cc1101_v1_433,V1 433 MHz,tx,8,250.0,10.0,0.19037288481405237,,,
payload,cc1101_v1_433,V1 433 MHz,tx,32,250.0,10.0,0.31967722023834766,,,
payload,cc1101_v1_433,V1 433 MHz,tx,64,250.0,10.0,0.7291634206631435,,,
payload,cc1101_v1_433,V1 433 MHz,tx,128,250.0,10.0,1.536366088149026,,,
payload,cc1101_v1_433,V1 433 MHz,tx,512,250.0,10.0,6.389976691252685,,,
payload,cc1101_v1_433,V1 433 MHz,tx,1024,250.0,10.0,12.87321468164736,,,
rate,cc1101_v1_433,V1 433 MHz,rx,32,1.2,10.0,25.774630820921022,,,
rate,cc1101_v1_433,V1 433 MHz,rx,32,38.4,10.0,6.595446010343219,,,
rate,cc1101_v1_433,V1 433 MHz,rx,32,250.0,10.0,6.177192940960571,,,
rate,cc1101_v1_433,V1 433 MHz,tx,32,1.2,10.0,58.31443020377763,,,
rate,cc1101_v1_433,V1 433 MHz,tx,32,38.4,10.0,1.8628315111869238,,,
rate,cc1101_v1_433,V1 433 MHz,tx,32,250.0,10.0,0.31967722023834766,,,
continuous,cc1101_v1_433,V1 433 MHz,rx,30,38.4,-30.0,,51.525884428395834,45.64759177485894,99.95333644423705
continuous,cc1101_v1_433,V1 433 MHz,rx,30,38.4,0.0,,51.588155577848354,45.70563650213008,100.0
continuous,cc1101_v1_433,V1 433 MHz,rx,30,38.4,10.0,,49.770067860559486,43.8865782594403,100.0
continuous,cc1101_v1_433,V1 433 MHz,tx,30,38.4,-30.0,,18.871763069815,12.998534494653088,
continuous,cc1101_v1_433,V1 433 MHz,tx,30,38.4,0.0,,26.610280117567783,20.73679226363031,
continuous,cc1101_v1_433,V1 433 MHz,tx,30,38.4,10.0,,69.58067198330889,63.69899583932658,
payload,cc1101_v2_868,V2 868 MHz,rx,8,250.0,10.0,5.73147803437882,,,
payload,cc1101_v2_868,V2 868 MHz,rx,32,250.0,10.0,5.989537946269249,,,
payload,cc1101_v2_868,V2 868 MHz,rx,64,250.0,10.0,6.780527836946921,,,
payload,cc1101_v2_868,V2 868 MHz,rx,128,250.0,10.0,8.394350842870852,,,
payload,cc1101_v2_868,V2 868 MHz,rx,512,250.0,10.0,18.312797678909213,,,
payload,cc1101_v2_868,V2 868 MHz,rx,1024,250.0,10.0,31.694681829385576,,,
payload,cc1101_v2_868,V2 868 MHz,tx,8,250.0,10.0,0.12208785833721322,,,
payload,cc1101_v2_868,V2 868 MHz,tx,32,250.0,10.0,0.20089440048232662,,,
payload,cc1101_v2_868,V2 868 MHz,tx,64,250.0,10.0,0.47825390122626105,,,
payload,cc1101_v2_868,V2 868 MHz,tx,128,250.0,10.0,1.0368070762359525,,,
payload,cc1101_v2_868,V2 868 MHz,tx,512,250.0,10.0,4.397204270724543,,,
payload,cc1101_v2_868,V2 868 MHz,tx,1024,250.0,10.0,8.87376302460314,,,
rate,cc1101_v2_868,V2 868 MHz,rx,32,1.2,10.0,23.685938696462202,,,
rate,cc1101_v2_868,V2 868 MHz,rx,32,38.4,10.0,6.232935380735782,,,
rate,cc1101_v2_868,V2 868 MHz,rx,32,250.0,10.0,5.989537946269249,,,
rate,cc1101_v2_868,V2 868 MHz,tx,32,1.2,10.0,33.111729140303815,,,
rate,cc1101_v2_868,V2 868 MHz,tx,32,38.4,10.0,1.0735441128281522,,,
rate,cc1101_v2_868,V2 868 MHz,tx,32,250.0,10.0,0.20089440048232662,,,
continuous,cc1101_v2_868,V2 868 MHz,rx,30,38.4,-30.0,,47.30839882380548,41.536217016511024,70.71524966261808
continuous,cc1101_v2_868,V2 868 MHz,rx,30,38.4,0.0,,46.33040285537853,40.554909903264125,100.0
continuous,cc1101_v2_868,V2 868 MHz,rx,30,38.4,10.0,,46.48466786694226,40.706742880816115,100.0
continuous,cc1101_v2_868,V2 868 MHz,tx,30,38.4,-30.0,,19.414225414197087,13.63572898973282,
continuous,cc1101_v2_868,V2 868 MHz,tx,30,38.4,0.0,,25.270110951496758,19.486668593576425,
continuous,cc1101_v2_868,V2 868 MHz,tx,30,38.4,10.0,,42.65315687551236,36.881954007473105,
