slug,code,label,chip,band,interface,modulation,configured_rates,tested_powers,family,validation,packet_payload_bytes,canonical_rate_kbps,canonical_mode,canonical_power_dbm,tx_energy_mJ,rx_energy_mJ,tx_energy_per_bit_uJ,rx_energy_per_bit_uJ,tx_duration_ms,rx_duration_ms,continuous_rate_kbps,continuous_mode,continuous_power_dbm,continuous_tx_power_mW,continuous_rx_power_mW,continuous_goodput_kbps,packet_received,packet_attempted,packet_campaign_runs,packet_points,packet_delivery_scope,packet_delivery_percent,continuous_received,continuous_attempted,continuous_delivery_percent,continuous_non_ok,continuous_windows
cc1101_v1_433,C11-433,CC1101 V1 433 MHz,CC1101,433 MHz,SPI,2-FSK,1.2/38.4/250 kbps,-30/0/10 dBm,Narrowband FSK,Validated,32.0,250.0,250 kbps,10.0,0.31967722023834766,6.177192940960571,1.2487391415560456,24.12965992562723,3.5,112.43400000000001,38.4,38.4 kbps,10.0,69.58067198330889,49.770067860559486,8.572,333,360,360,72,bidirectional,92.5,6428,6429,99.98444548141235,0,6
cc1101_v2_868,C11-868,CC1101 V2 868 MHz,CC1101,868 MHz,SPI,2-FSK,1.2/38.4/250 kbps,-30/0/10 dBm,Narrowband FSK,Validated,32.0,250.0,250 kbps,10.0,0.20089440048232662,5.989537946269249,0.7847437518840884,23.396632602614254,4.164,112.74600000000001,38.4,38.4 kbps,10.0,42.65315687551236,46.48466786694226,8.892,90,90,360,72,rx-only legacy telemetry,100.0,6018,6669,90.23841655420603,0,6
e28_sx1280,E28,E28 direct SPI,SX1280,2.4 GHz,SPI,"LoRa, CR 4/6","SF5/8/12, BW 812.5 kHz",-18/0/13 dBm,LoRa 2.4 GHz,Validated,32.0,84.63541666666667,SF5,13.0,0.41692049246255175,0.09979458810871934,1.6285956736818428,0.3898226097996849,4.868,4.42,16.927083333333332,SF8,13.0,69.30645681962582,20.56862176344759,9.275733333333333,180,180,180,36,bidirectional,100.0,11384,11537,98.67383201872236,0,12
e280,E280,Ebyte E280-2G4T12S,SX1280,2.4 GHz,UART,Vendor transparent PHY,1/100/2000 kbps presets,4/7/12 dBm,Transparent UART,Validated,32.0,2000.0,2000 kbps,12.0,0.03615855677733127,0.5944188708918725,0.14124436241145027,2.321948714421377,0.43,10.17,100.0,100 kbps,12.0,66.23383914806558,62.93518951912614,7.373866666666666,180,180,180,36,bidirectional,100.0,5219,12954,40.28871391076115,0,12
ebyte_e22_400m30s,E22,Ebyte E22-400M30S,SX1268 + PA,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-9/10/18 dBm front stage,LoRa sub-GHz,Validated,32.0,5.46875,SF7,18.0,17.741933400430188,1.3266689910121763,69.30442734543043,5.182300746141314,95.19800000000001,71.92999999999999,1.7578125,SF9,18.0,191.9343269010369,18.150001478005812,0.9216,169,180,180,36,bidirectional,93.88888888888889,1390,1859,74.77138246369016,0,12
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,SX1278,433 MHz,UART,"LoRa transparent, FEC",0.3/4.8/19.2 kbps,10/14/20 dBm,Transparent UART,Validated,32.0,19.2,19.2 kbps,20.0,17.686322630549032,3.0805547032602676,69.08719777558215,12.03341680961042,53.06,64.0,4.8,4.8 kbps,20.0,275.8591146735453,43.44143931230831,1.6874666666666667,359,360,360,72,bidirectional,99.72222222222223,2072,2559,80.96912856584603,0,12
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,SX1278 + PA,433 MHz,UART,"LoRa transparent, FEC",0.3/4.8/19.2 kbps,24/27/30 dBm,Transparent UART,Validated,32.0,19.2,19.2 kbps,30.0,160.35412190270392,10.366580210963757,626.3832886824372,40.494453949077176,62.096000000000004,64.0,4.8,4.8 kbps,30.0,2524.8707741739227,202.73944990263178,1.6501333333333335,299,360,360,72,bidirectional,83.05555555555556,1522,2559,59.476357952325124,0,12
ebyte_e32_868t20d,E32-86-20,Ebyte E32-868T20D,SX1276,868 MHz,UART,"LoRa transparent, FEC",0.3/4.8/19.2 kbps,10/14/20 dBm,Transparent UART,Validated,32.0,19.2,19.2 kbps,20.0,17.65925105105156,3.080981171125063,68.98144941817016,12.035082699707278,53.06,64.0,4.8,4.8 kbps,20.0,276.36633584990113,43.4377343129725,1.6874666666666667,359,360,360,72,bidirectional,99.72222222222223,2071,2559,80.93005080109418,0,12
ebyte_e32_868t30d,E32-86-30,Ebyte E32-868T30D,SX1276 + PA,868 MHz,UART,"LoRa transparent, FEC",0.3/4.8/19.2 kbps,21/27/30 dBm,Transparent UART,Legacy accepted,32.0,19.2,19.2 kbps,30.0,91.64829829241222,4.884442772503712,358.00116520473523,19.079854580092622,57.948,64.0,4.8,4.8 kbps,30.0,1376.9661237464557,72.12192189516298,1.6352,360,360,360,72,bidirectional,100.0,659,813,81.05781057810579,0,6
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,CC1352P,433 MHz,UART AT,"2-GFSK, OOK, SLR, 802.15.4g",2.5--200 kbps (7 PHYs),-20/0/13 dBm,Multi-PHY sub-GHz,Validated,32.0,200.0,GFSK200,13.0,0.10788161045307065,0.11235653752490506,0.4214125408323072,0.43889272470666035,4.760000000000001,4.760000000000001,2.5,SLR2K5,13.0,29.33532645301087,22.75289616038924,2.0565333333333333,839,840,840,168,bidirectional,99.88095238095238,22371,22371,100.0,0,24
hc12,HC-12,HC-12,Si4463,433 MHz,UART,Transparent (G)FSK,0.5/15/250 kbps presets,-1/8/20 dBm,Transparent UART,Validated,32.0,250.0,250 kbps,20.0,5.412551942626837,0.357794074321045,21.14278102588608,1.397633102816582,58.541999999999994,21.02,15.0,15 kbps,20.0,102.9092968361305,56.39044277447307,3.0469333333333335,180,180,180,36,bidirectional,100.0,2713,2713,100.0,0,12
nrf24l01,NRF,nRF24L01,nRF24L01+,2.4 GHz,SPI,"GFSK, ESB framing",250/1000/2000 kbps,-18/-6/0 dBm,2.4 GHz GFSK,Validated,32.0,2000.0,2000 kbps,0.0,0.018730893791701744,0.05673665871286919,0.07316755387383495,0.22162757309714526,0.62,1.16,1000.0,1000 kbps,0.0,1.694727797656067,41.800991882898934,11.067733333333333,142,180,180,36,bidirectional,78.88888888888889,27329,31600,86.48417721518987,0,12
nrf24l01_pa,NRF-PA,nRF24L01+PA/LNA,nRF24L01+ + PA/LNA,2.4 GHz,SPI,"GFSK, ESB framing",250/1000/2000 kbps,-18/-6/0 dBm drive,2.4 GHz GFSK,Validated,32.0,2000.0,2000 kbps,0.0,0.09354417553078238,0.09365855484924195,0.3654069356671187,0.3658537298798514,0.906,1.16,1000.0,1000 kbps,0.0,8.980230935695753,73.29935186388072,7.9872,116,180,180,36,bidirectional,64.44444444444444,19644,31604,62.15668902670548,2,12
ra01h_sx1276,RA-01H,Ai-Thinker RA-01H,SX1276,868 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",2/10/20 dBm,LoRa sub-GHz,Validated,32.0,5.46875,SF7,20.0,30.244521942532273,2.85959208470647,118.14266383801669,11.170281580884648,79.43,79.10000000000001,1.7578125,SF9,20.0,367.3626723982568,35.87417080421384,1.1490666666666667,177,180,180,36,bidirectional,98.33333333333333,1745,1758,99.26052332195677,0,12
ra01sh_sx1262,RA-01SH,Ai-Thinker RA-01SH,SX1262,868 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-9/10/22 dBm,LoRa sub-GHz,Validated,32.0,5.46875,SF7,22.0,18.032091821272235,1.1850413256097174,70.43785867684467,4.629067678162959,79.974,79.10000000000001,1.7578125,SF9,22.0,217.11425147488083,14.759544163011508,1.1861333333333335,180,180,180,36,bidirectional,100.0,1758,1758,100.0,0,12
ra02_sx1278,RA-02,Ai-Thinker RA-02,SX1278,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-4/10/20 dBm,SX1278 variant,Validated,32.0,5.46875,SF7,20.0,16.66629824523627,3.238492633707236,65.10272752045418,12.650361850418891,79.554,79.10000000000001,1.7578125,SF9,20.0,203.68990599745774,40.958299846245055,1.1861333333333335,179,180,180,36,bidirectional,99.44444444444444,1751,1758,99.60182025028442,0,12
ra02_sx1278_2cap,RA-02-2C,Ai-Thinker RA-02 + 2 capacitors,SX1278,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-4/10/20 dBm,SX1278 variant,Validated,32.0,5.46875,SF7,20.0,16.17101847719723,3.2445047556230686,63.168040926551676,12.673846701652613,79.668,79.10000000000001,1.7578125,SF9,20.0,196.94235816240567,41.07329936928591,1.1776,179,180,180,36,bidirectional,99.44444444444444,1747,1758,99.37428896473266,0,12
ra08_asr6601,RA-08,Ai-Thinker RA-08,ASR6601,433 MHz,UART AT,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",2/12/22 dBm,LoRa SoC modem,Validated,32.0,5.46875,SF7,22.0,32.83589553414428,3.086595017552088,128.26521693025109,12.057011787312845,72.264,71.92999999999999,1.7578125,SF9,22.0,415.42732506355753,42.39785928238391,1.2117333333333333,180,180,180,36,bidirectional,100.0,1674,1674,100.0,0,12
sx1278_adafruit_level_shifter,S1278-LS,SX1278 + level shifter,SX1278,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-4/10/20 dBm,SX1278 variant,Accepted; no validation memo,32.0,5.46875,SF7,20.0,23.265037913131945,2.917057706035975,90.87905434817166,11.394756664203026,89.9,71.92999999999999,1.7578125,SF9,20.0,255.3315693843699,40.63124153224809,0.9216,160,180,180,36,bidirectional,88.88888888888889,1402,1860,75.3763440860215,0,12
sx1278_naked,S1278-N,SX1278 naked board,SX1278,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-4/10/20 dBm,SX1278 variant,Validated,32.0,5.46875,SF7,20.0,19.363122648953816,2.7293740613911446,75.63719784747585,10.661617427309158,79.60000000000001,71.92999999999999,1.7578125,SF9,20.0,240.6246355359078,37.74827858174233,1.1690666666666667,179,180,180,36,bidirectional,99.44444444444444,1310,1859,70.46799354491662,1,12
sx1278_pcb_2cap,S1278-2C,SX1278 PCB + 2 capacitors,SX1278,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-4/10/20 dBm,SX1278 variant,Validated,32.0,5.46875,SF7,20.0,19.197208350632682,2.7897621387251013,74.98909511965891,10.897508354394926,79.58800000000001,71.92999999999999,1.7578125,SF9,20.0,237.69842379065224,38.579221333999186,1.1690666666666667,153,180,180,36,bidirectional,85.0,1226,1859,65.94943518020442,2,12
sx1278_shielded,S1278-S,SX1278 shielded board,SX1278,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-4/10/20 dBm,SX1278 variant,Validated,32.0,5.46875,SF7,20.0,22.318597400407935,2.9716001313860483,87.1820210953435,11.607813013226751,89.78,71.92999999999999,1.7578125,SF9,20.0,244.13243917237082,41.36875759421913,0.9301333333333334,178,180,180,36,bidirectional,98.88888888888889,1430,1859,76.92307692307692,0,12
xl1276_d01_sx1276,XL1276,XL1276-D01,SX1276,433 MHz,SPI,"LoRa, CR 4/5","SF7/9/12, BW 125 kHz",-4/10/20 dBm,LoRa sub-GHz,Validated,32.0,5.46875,SF7,20.0,21.352287619970628,2.934257728887845,83.40737351551027,11.461944253468143,72.436,71.92999999999999,1.7578125,SF9,20.0,282.8730772996899,40.78003260043328,1.2458666666666665,180,180,180,36,bidirectional,100.0,1840,1860,98.9247311827957,0,12
